genre,title,avg_rating
(no genres listed),Marco Polo: One Hundred Eyes (2015),4.0
(no genres listed),Round Trip to Heaven (1992),4.0
(no genres listed),Pablo (2012),3.5
(no genres listed),The Take (2009),3.5
(no genres listed),The 50 Year Argument (2014),2.5
(no genres listed),Li'l Quinquin (    ),2.0
(no genres listed),The Big Broadcast of 1936 (1935),2.0
Action,"Chase, The (1994)",5.0
Action,"Friend Is a Treasure, A (Chi Trova Un Amico, Trova un Tesoro) (Who Finds a Friend Finds a Treasure) (1981)",5.0
Action,Ghost in the Shell: Stand Alone Complex - The Laughing Man (2005),5.0
Action,"Gunfighter, The (1950)",5.0
Action,Heaven & Earth (1993),5.0
Action,Love Exposure (Ai No Mukidashi) (2008),5.0
Action,Resident Evil: Retribution (2012),5.0
Action,Speedy (1928),5.0
Action,Star Wreck: In the Pirkinning (2005),5.0
Action,Superman/Batman: Public Enemies (2009),5.0
Adventure,"Chase, The (1994)",5.0
Adventure,Everything's Gonna Be Great (1998),5.0
Adventure,"Friend Is a Treasure, A (Chi Trova Un Amico, Trova un Tesoro) (Who Finds a Friend Finds a Treasure) (1981)",5.0
Adventure,Interstate 60 (2002),5.0
Adventure,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem (2003),5.0
Adventure,Iron Will (1994),5.0
Adventure,Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu) (1973),5.0
Adventure,Mothra (Mosura) (1961),5.0
Adventure,"Plague Dogs, The (1982)",5.0
Adventure,The Revenant (2015),5.0
Animation,Animal Farm (1954),5.0
Animation,Feast (2014),5.0
Animation,Ghost in the Shell: Stand Alone Complex - The Laughing Man (2005),5.0
Animation,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem (2003),5.0
Animation,Memories (Memorîzu) (1995),5.0
Animation,More (1998),5.0
Animation,"Nine Lives of Fritz the Cat, The (1974)",5.0
Animation,"Plague Dogs, The (1982)",5.0
Animation,Superman/Batman: Public Enemies (2009),5.0
Animation,Batman: Under the Red Hood (2010),4.833333333333333
Children,Everything's Gonna Be Great (1998),5.0
Children,Feast (2014),5.0
Children,Heidi (1937),4.666666666666667
Children,"Batman/Superman Movie, The (1998)",4.5
Children,"Boxtrolls, The (2014)",4.5
Children,By the Light of the Silvery Moon (1953),4.5
Children,"Last Mimzy, The (2007)",4.5
Children,"Last Unicorn, The (1982)",4.5
Children,Pinchcliffe Grand Prix (Flåklypa Grand Prix) (1975),4.5
Children,Scooby-Doo! And Kiss: Rock and Roll Mystery (2015),4.5
Comedy,Austenland (2013),5.0
Comedy,"Brass Teapot, The (2012)",5.0
Comedy,Castaway on the Moon (Kimssi pyoryugi) (2009),5.0
Comedy,"Chase, The (1994)",5.0
Comedy,Cold Fever (Á köldum klaka) (1995),5.0
Comedy,Cul-de-sac (1966),5.0
Comedy,Dear Diary (Caro Diario) (1994),5.0
Comedy,Everything's Gonna Be Great (1998),5.0
Comedy,Feast (2014),5.0
Comedy,"Friend Is a Treasure, A (Chi Trova Un Amico, Trova un Tesoro) (Who Finds a Friend Finds a Treasure) (1981)",5.0
Crime,"Chase, The (1994)",5.0
Crime,Cul-de-sac (1966),5.0
Crime,"Enigma of Kaspar Hauser, The (a.k.a. Mystery of Kaspar Hauser, The) (Jeder für sich und Gott Gegen Alle) (1974)",5.0
Crime,Gentlemen of Fortune (Dzhentlmeny udachi) (1972),5.0
Crime,Ghost in the Shell: Stand Alone Complex - The Laughing Man (2005),5.0
Crime,Operation 'Y' & Other Shurik's Adventures (1965),5.0
Crime,Sherlock Holmes Faces Death (1943),5.0
Crime,Sherlock Holmes and the Voice of Terror (1942),5.0
Crime,Switchblade Sisters (1975),5.0
Crime,Time of the Gypsies (Dom za vesanje) (1989),5.0
Documentary,21 Up (1977),5.0
Documentary,50 Children: The Rescue Mission of Mr. And Mrs. Kraus (2013),5.0
Documentary,Barenaked in America (1999),5.0
Documentary,Earth (2007),5.0
Documentary,From One Second to the Next (2013),5.0
Documentary,Genghis Blues (1999),5.0
Documentary,Heima (2007),5.0
Documentary,Home (2009),5.0
Documentary,Shackleton's Antarctic Adventure (2001),5.0
Documentary,Waiting for 'Superman' (2010),5.0
Drama,Andrei Rublev (Andrey Rublyov) (1969),5.0
Drama,Animal Farm (1954),5.0
Drama,"Beast of War, The (Beast, The) (1988)",5.0
Drama,Being Human (1993),5.0
Drama,Boys Life 2 (1997),5.0
Drama,"Broken Hearts Club, The (2000)",5.0
Drama,Castaway on the Moon (Kimssi pyoryugi) (2009),5.0
Drama,Cold Fever (Á köldum klaka) (1995),5.0
Drama,Cul-de-sac (1966),5.0
Drama,Dad (1989),5.0
Fantasy,"Brass Teapot, The (2012)",5.0
Fantasy,Interstate 60 (2002),5.0
Fantasy,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem (2003),5.0
Fantasy,Memories (Memorîzu) (1995),5.0
Fantasy,Mothra (Mosura) (1961),5.0
Fantasy,"Saddest Music in the World, The (2003)",5.0
Fantasy,Superman/Batman: Public Enemies (2009),5.0
Fantasy,Symbol (Shinboru) (2009),5.0
Fantasy,Time of the Gypsies (Dom za vesanje) (1989),5.0
Fantasy,Ruby Sparks (2012),4.75
Film-Noir,"Lady from Shanghai, The (1947)",4.666666666666667
Film-Noir,Brighton Rock (1947),4.5
Film-Noir,"Classe Tous Risques (Big Risk, The) (1960)",4.5
Film-Noir,"Glass Key, The (1942)",4.5
Film-Noir,I Am a Fugitive from a Chain Gang (1932),4.5
Film-Noir,Odd Man Out (1947),4.5
Film-Noir,"Shanghai Gesture, The (1941)",4.5
Film-Noir,Sweet Smell of Success (1957),4.5
Film-Noir,"Verdict, The (1946)",4.5
Film-Noir,White Heat (1949),4.5
Horror,Bride of the Monster (1955),5.0
Horror,Even Dwarfs Started Small (Auch Zwerge haben klein angefangen) (1971),5.0
Horror,"Hush... Hush, Sweet Charlotte (1964)",5.0
Horror,"Mummy's Hand, The (1940)",5.0
Horror,Possession (1981),5.0
Horror,Resident Evil: Retribution (2012),5.0
Horror,Strait-Jacket (1964),5.0
Horror,Svengali (1931),5.0
Horror,"Tetsuo, the Ironman (Tetsuo) (1988)",5.0
Horror,"Afflicted, The (2010)",4.5
IMAX,More (1998),5.0
IMAX,Resident Evil: Retribution (2012),5.0
IMAX,Shackleton's Antarctic Adventure (2001),5.0
IMAX,Inception (2010),4.189320388349515
IMAX,Gravity (2013),4.1875
IMAX,Toy Story 3 (2010),4.142857142857143
IMAX,"Dark Knight, The (2008)",4.141732283464567
IMAX,"Dark Knight Rises, The (2012)",4.121951219512195
IMAX,Interstellar (2014),4.065789473684211
IMAX,Harry Potter and the Deathly Hallows: Part 2 (2011),4.053571428571429
Musical,Forbidden Zone (1980),5.0
Musical,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem (2003),5.0
Musical,"Saddest Music in the World, The (2003)",5.0
Musical,"Traviata, La (1982)",5.0
Musical,Young at Heart (a.k.a. Young@Heart) (2007),5.0
Musical,Beat Street (1984),4.5
Musical,By the Light of the Silvery Moon (1953),4.5
Musical,Carousel (1956),4.5
Musical,Footloose (2011),4.5
Musical,"Hole in the Head, A (1959)",4.5
Mystery,Gentlemen of Fortune (Dzhentlmeny udachi) (1972),5.0
Mystery,Interstate 60 (2002),5.0
Mystery,Safe Haven (2013),5.0
Mystery,Sherlock Holmes Faces Death (1943),5.0
Mystery,Sherlock Holmes and the Voice of Terror (1942),5.0
Mystery,Memories of Murder (Salinui chueok) (2003),4.75
Mystery,"Lady from Shanghai, The (1947)",4.666666666666667
Mystery,Assassination of a High School President (2008),4.5
Mystery,Fermat's Room (La habitación de Fermat) (2007),4.5
Mystery,"Glass Key, The (1942)",4.5
Romance,Austenland (2013),5.0
Romance,Castaway on the Moon (Kimssi pyoryugi) (2009),5.0
Romance,"Chase, The (1994)",5.0
Romance,Fallen Angels (Duo luo tian shi) (1995),5.0
Romance,Feast (2014),5.0
Romance,Flesh and the Devil (1926),5.0
Romance,Griff the Invisible (2011),5.0
Romance,Heat (1972),5.0
Romance,"Irony of Fate, or Enjoy Your Bath! (Ironiya sudby, ili S legkim parom!) (1975)",5.0
Romance,Limelight (1952),5.0
Sci-Fi,Air (2015),5.0
Sci-Fi,Bride of the Monster (1955),5.0
Sci-Fi,Forbidden Zone (1980),5.0
Sci-Fi,Ghost in the Shell: Stand Alone Complex - The Laughing Man (2005),5.0
Sci-Fi,Interstate 60 (2002),5.0
Sci-Fi,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem (2003),5.0
Sci-Fi,Memories (Memorîzu) (1995),5.0
Sci-Fi,More (1998),5.0
Sci-Fi,Mothra (Mosura) (1961),5.0
Sci-Fi,Resident Evil: Retribution (2012),5.0
Thriller,Air (2015),5.0
Thriller,"Brass Teapot, The (2012)",5.0
Thriller,"Chase, The (1994)",5.0
Thriller,Cul-de-sac (1966),5.0
Thriller,Dream Man (1995),5.0
Thriller,"Hush... Hush, Sweet Charlotte (1964)",5.0
Thriller,Interstate 60 (2002),5.0
Thriller,Julia (2008),5.0
Thriller,Memories (Memorîzu) (1995),5.0
Thriller,Strait-Jacket (1964),5.0
War,Andrei Rublev (Andrey Rublyov) (1969),5.0
War,"Beast of War, The (Beast, The) (1988)",5.0
War,Heaven & Earth (1993),5.0
War,"Night of the Shooting Stars (Notte di San Lorenzo, La) (1982)",5.0
War,"Rome, Open City (a.k.a. Open City) (Roma, città aperta) (1945)",5.0
War,Roots (1977),5.0
War,Sherlock Holmes and the Voice of Terror (1942),5.0
War,War Photographer (2001),5.0
War,Wings (1927),5.0
War,"Civil War, The (1990)",4.75
Western,"Cowboys, The (1972)",5.0
Western,"Gunfighter, The (1950)",5.0
Western,The Hateful Eight (2015),5.0
Western,My Darling Clementine (1946),4.666666666666667
Western,Django (1966),4.5
Western,"Good, the Bad, the Weird, The (Joheunnom nabbeunnom isanghannom) (2008)",4.5
Western,Hondo (1953),4.5
Western,"Man from Laramie, The (1955)",4.5
Western,Hud (1963),4.333333333333333
Western,Lonesome Dove (1989),4.333333333333333
